{
{0.111892 + 0.523052 I,-0.108129 - 0.0432387 I, 0.343178 + 0.282662 I, -0.0795876 - 0.188787 I, 0.17109 + 0.453712 I, 0.377329 + 0.288423 I} ,
{0.207119 + 0.478656 I, -0.186769 - 0.332659 I, 0.02531 + 0.16669 I, -0.103444 - 0.240682 I, 0.20536 + 0.145197 I, 0.422665 + 0.493448 I},
{0.0870383 + 0.176349 I, -0.418246 - 0.247039 I, 0.237097 + 0.379887 I, -0.0317017 - 0.225956 I, 0.187301 + 0.395533 I, 0.421693 + 0.321595 I},
{0.280244 + 0.303227 I, -0.160264 - 0.214898 I, 0.182788 + 0.437517 I, -0.0885961 - 0.172776 I, 0.287878 + 0.391646 I, 0.284706 + 0.421662 I},
{0.43655 + 0.12156 I, -0.444449 - 0.0640929 I, 0.202314 + 0.22705 I, -0.0201143 - 0.253361 I, 0.000141904 + 0.270692 I, 0.459337 + 0.389435 I},
{0.242626 + 0.0376512 I, -0.106564 - 0.341505 I, 0.334173 + 0.405943 I, -0.301943 - 0.217283 I, 0.367832 + 0.413787 I, 0.237831 + 0.183866 I},
{0.228439 + 0.0409655 I, -0.108541 - 0.14481 I, 0.0604348 + 0.271052 I, -0.469102 - 0.550548 I, 0.163954 + 0.42095 I, 0.329954 + 0.0124777 I},
{0.0602042 + 0.393009 I, -0.399916 - 0.312633 I, 0.0219777 + 0.207904 I, -0.242489 - 0.238016 I, 0.265318 + 0.216907 I, 0.427576 + 0.353305 I},
{0.0153145 + 0.198311 I, -0.57861 - 0.464973 I, 0.00123094 + 0.104168 I, -0.4226 - 0.17075 I, 0.243242 + 0.0681678 I, 0.141987 + 0.326917 I},
{0.3319 + 0.295594 I, -0.422069 - 0.229742 I, 0.386388 + 0.228314 I, -0.341031 - 0.255254 I, 0.22822 + 0.0135558 I, 0.294829 + 0.222421 I},
{0.28577 + 0.149794 I, -0.346233 - 0.0320131 I, 0.273971 + 0.210088 I, -0.215476 - 0.398219 I, 0.381574 + 0.412408 I, 0.223842 + 0.291557 I},
{0.377529 + 0.331633 I, -0.108659 - 0.0838205 I, 0.333001 + 0.326659 I, -0.0816226 - 0.0362463 I, 0.434346 + 0.0893573 I, 0.342521 + 0.434885 I},
{0.306426 + 0.347485 I, -0.374062 - 0.0533508 I, 0.0353469 + 0.19578 I, -0.156694 - 0.344662 I, 0.443557 + 0.507374 I, 0.0734276 + 0.0101063 I},
{0.224628 + 0.247345 I, -0.514169 - 0.203043 I, 0.321234 + 0.0918562 I, -0.234107 - 0.333616 I, 0.25129 + 0.0892312 I, 0.463967 + 0.136593 I},
{0.432575 + 0.169347 I, -0.406426 - 0.363314 I, 0.166951 + 0.27038 I, -0.429104 - 0.348765 I, 0.117628 + 0.18435 I, 0.164409 + 0.0736488 I},
{0.0682788 + 0.431153 I, -0.414869 - 0.0126599 I, 0.218945 + 0.379738 I, -0.0491406 - 0.136745 I, 0.307369 + 0.187117 I, 0.367739 + 0.398994 I},
{0.364704 + 0.152171 I, -0.102447 - 0.449348 I, 0.145474 + 0.392459 I, -0.143648 - 0.449197 I, 0.22162 + 0.029268 I, 0.00839696 + 0.4287 I},
{0.0815244 + 0.090996 I, -0.354316 - 0.374863 I, 0.353206 + 0.40897 I, -0.352322 - 0.150329 I, 0.178094 + 0.299338 I, 0.0362705 + 0.397034 I},
{0.205136 + 0.0880889 I, -0.407804 - 0.376959 I, 0.236204 + 0.230065 I, -0.0627494 - 0.447179 I, 0.407731 + 0.378251 I, 0.0711756 + 0.121423 I},
{0.174498 + 0.177684 I, -0.268222 - 0.431602 I, 0.0852258 + 0.235402 I, -0.406503 - 0.365727 I, 0.430104 + 0.067951 I, 0.22473 + 0.279224 I},
{0.204497 + 0.0280191 I, -0.335329 - 0.346899 I, 0.396014 + 0.068944 I, -0.105213 - 0.0577834 I, 0.0808817 + 0.291476 I, 0.536964 + 0.410844 I},
{0.372856 + 0.159547 I, -0.166983 - 0.393429 I, 0.0712306 + 0.38219 I, -0.0484589 - 0.321234 I, 0.422928 + 0.125486 I, 0.441518 + 0.0813503 I},
{0.14157 + 0.179117 I, -0.0479679 - 0.45426 I, 0.125661 + 0.165145 I, -0.430567 - 0.204003 I, 0.161903 + 0.546618 I, 0.377811 + 0.037527 I},
{0.383292 + 0.454213 I, -0.379475 - 0.294799 I, 0.0599056 + 0.413546 I, -0.0706718 - 0.219728 I, 0.419943 + 0.0159553 I, 0.0837317 + 0.0660964 I},
{0.32266 + 0.190748 I, -0.617257 - 0.481538 I, 0.267624 + 0.266522 I, -0.0473444 - 0.166468 I, 0.140729 + 0.186119 I, 0.0200972 + 0.138426 I},
{0.350649 + 0.0803192 I, -0.423503 - 0.247077 I, 0.344668 + 0.0398558 I, -0.0208809 - 0.0691836 I, 0.182308 + 0.426659 I, 0.391944 + 0.368364 I},
{0.160184 + 0.169437 I, -0.134101 - 0.37459 I, 0.0240215 + 0.415882 I, -0.278473 - 0.141434 I, 0.458346 + 0.39781 I, 0.383179 + 0.0329641 I},
{0.357558 + 0.380027 I, -0.214149 - 0.318722 I, 0.36827 + 0.28418 I, -0.373724 - 0.0748549 I, 0.124361 + 0.0612519 I, 0.399899 + 0.198741 I},
{0.198081 + 0.457737 I, -0.183665 - 0.316772 I, 0.313779 + 0.135148 I, -0.481791 - 0.0270708 I, 0.289365 + 0.260118 I, 0.242503 + 0.239553 I},
{0.213025 + 0.428282 I, -0.0915366 - 0.420527 I, 0.143446 + 0.395198 I, -0.234725 - 0.196698 I, 0.0175478 + 0.330995 I, 0.264665 + 0.368126 I},
{0.0102435 + 0.146416 I, -0.357789 - 0.154999 I, 0.414617 + 0.276309 I, -0.109636 - 0.19027 I, 0.266469 + 0.104059 I, 0.45958 + 0.486719 I},
{0.307639 + 0.387521 I, -0.261831 - 0.319501 I, 0.0326876 + 0.17989 I, -0.0179365 - 0.269233 I, 0.330945 + 0.294573 I, 0.239833 + 0.473809 I},
{0.171919 + 0.0977672 I, -0.0461959 - 0.197001 I, 0.204594 + 0.432337 I, -0.251311 - 0.535544 I, 0.0752698 + 0.278917 I, 0.0884013 + 0.499928 I},
{0.428318 + 0.12261 I, -0.174324 - 0.201739 I, 0.251072 + 0.31082 I, -0.152155 - 0.302923 I, 0.431736 + 0.384561 I, 0.23232 + 0.260014 I},
{0.0425148 + 0.352328 I, -0.136719 - 0.531271 I, 0.245475 + 0.254388 I, -0.176154 - 0.436691 I, 0.392536 + 0.12646 I, 0.212433 + 0.105887 I},
{0.31575 + 0.288515 I, -0.0527759 - 0.0384189 I, 0.0758253 + 0.578924 I, -0.22646 - 0.493007 I, 0.110352 + 0.0458007 I, 0.404083 + 0.000646862 I},
{0.34595 + 0.158991 I, -0.481899 - 0.192637 I, 0.466288 + 0.209261 I, -0.18416 - 0.4219 I, 0.115874 + 0.148711 I, 0.277538 + 0.00248963 I},
{0.211224 + 0.41009 I, -0.0130849 - 0.25285 I, 0.383054 + 0.413931 I, -0.451899 - 0.0657082 I, 0.350153 + 0.154215 I, 0.0994898 + 0.200548 I},
{0.422201 + 0.150085 I, -0.458298 - 0.33498 I, 0.0414873 + 0.464237 I, -0.244871 - 0.310971 I, 0.261925 + 0.170029 I, 0.0160925 + 0.072782 I},
{0.319078 + 0.181736 I, -0.0248747 - 0.372579 I, 0.138513 + 0.0349558 I, -0.234573 - 0.370861 I, 0.343802 + 0.305133 I, 0.392377 + 0.384047 I},
{0.276086 + 0.316565 I, -0.134939 - 0.526979 I, 0.188534 + 0.0275662 I, -0.0853593 - 0.0864159 I, 0.452209 + 0.0748154 I, 0.259241 + 0.446421 I},
{0.223589 + 0.193218 I, -0.333768 - 0.254416 I, 0.594692 + 0.30796 I, -0.0307336 - 0.21345 I, 0.304451 + 0.0714476 I, 0.366042 + 0.0987986 I},
{0.232977 + 0.113442 I, -0.248039 - 0.398688 I, 0.323755 + 0.144751 I, -0.355101 - 0.376464 I, 0.332167 + 0.0434961 I, 0.382937 + 0.24478 I},
{0.121483 + 0.287097 I, -0.137666 - 0.0973694 I, 0.522645 + 0.149833 I, -0.0394679 - 0.426111 I, 0.47269 + 0.31005 I, 0.117311 + 0.249638 I},
{0.337482 + 0.396261 I, -0.44546 - 0.163594 I, 0.0174447 + 0.194124 I, -0.268076 - 0.467314 I, 0.221959 + 0.253889 I, 0.146914 + 0.20085 I},
{0.366192 + 0.298162 I, -0.193816 - 0.284309 I, 0.0248839 + 0.203268 I, -0.350407 - 0.39994 I, 0.235982 + 0.213241 I, 0.29687 + 0.380317 I},
{0.414782 + 0.099269 I, -0.293943 - 0.256978 I, 0.184971 + 0.247147 I, -0.198192 - 0.465647 I, 0.370462 + 0.319888 I, 0.255955 + 0.0957788 I},
{0.267033 + 0.359045 I, -0.318993 - 0.390039 I, 0.29954 + 0.376341 I, -0.181781 - 0.163816 I, 0.33382 + 0.350548 I, 0.00693291 + 0.142437 I},
{0.396289 + 0.268035 I, -0.414982 - 0.266267 I, 0.0704158 + 0.0262898 I, -0.277167 - 0.0724425 I, 0.422615 + 0.471012 I, 0.184313 + 0.0765426 I},
{0.463459 + 0.163865 I, -0.190598 - 0.117556 I, 0.363066 + 0.398785 I, -0.268485 - 0.21084 I, 0.464391 + 0.275435 I, 0.0507345 + 0.0820027 I},
{0.158163 + 0.123077 I, -0.102392 - 0.214814 I, 0.277603 + 0.482174 I, -0.085708 - 0.0404845 I, 0.514224 + 0.437674 I, 0.270332 + 0.235804 I},
{0.263179 + 0.0242653 I, -0.383483 - 0.398842 I, 0.304277 + 0.269878 I, -0.158852 - 0.272974 I, 0.428893 + 0.305412 I, 0.262599 + 0.11253 I},
{0.0104795 + 0.269944 I, -0.152407 - 0.203402 I, 0.38538 + 0.346359 I, -0.127632 - 0.43362 I, 0.479254 + 0.00444593 I, 0.198173 + 0.347339 I},
{0.0786342 + 0.398619 I, -0.425492 - 0.283466 I, 0.00313426 + 0.416827 I, -0.0661128 - 0.381815 I, 0.159224 + 0.168981 I, 0.226785 + 0.379838 I},
{0.17443 + 0.412415 I, -0.351629 - 0.188557 I, 0.33845 + 0.389626 I, -0.332767 - 0.0308233 I, 0.228611 + 0.271023 I, 0.273573 + 0.248378 I},
{0.330856 + 0.294442 I, -0.432497 - 0.195809 I, 0.383488 + 0.459167 I, -0.195326 - 0.173553 I, 0.161375 + 0.161863 I, 0.0192341 + 0.315693 I},
{0.410851 + 0.0428231 I, -0.313647 - 0.358655 I, 0.315467 + 0.327886 I, -0.23816 - 0.0739369 I, 0.109175 + 0.474356 I, 0.076233 + 0.300666 I},
{0.158078 + 0.232209 I, -0.281009 - 0.223114 I, 0.376464 + 0.0367999 I, -0.399063 - 0.237566 I, 0.0316242 + 0.324899 I, 0.43305 + 0.373476 I},
{0.485579 + 0.235279 I, -0.391503 - 0.222524 I, 0.11403 + 0.310498 I, -0.391861 - 0.351008 I, 0.200829 + 0.174642 I, 0.215618 + 0.0506754 I},
{0.0018799 + 0.312676 I, -0.447566 - 0.0612669 I, 0.492027 + 0.398415 I, -0.427 - 0.0201988 I, 0.145147 + 0.0507894 I, 0.174502 + 0.245969 I},
{0.24631 + 0.389689 I, -0.184223 - 0.412965 I, 0.405774 + 0.032299 I, -0.233803 - 0.227644 I, 0.162372 + 0.239424 I, 0.39628 + 0.264742 I},
{0.355997 + 0.451513 I, -0.202738 - 0.172087 I, 0.0799771 + 0.281728 I, -0.394724 - 0.400298 I, 0.00689211 + 0.280377 I, 0.270509 + 0.212223 I},
{0.240089 + 0.0295916 I, -0.288045 - 0.139677 I, 0.401084 + 0.377675 I, -0.145028 - 0.0814546 I, 0.437064 + 0.380221 I, 0.370662 + 0.186662 I},
{0.0141641 + 0.192791 I, -0.48245 - 0.406552 I, 0.485772 + 0.300964 I, -0.0200982 - 0.177254 I, 0.007395 + 0.246248 I, 0.265815 + 0.273608 I},
{0.356313 + 0.363409 I, -0.292643 - 0.183132 I, 0.401228 + 0.00868096 I, -0.0615667 - 0.394848 I, 0.133422 + 0.0754806 I, 0.390164 + 0.354001 I},
{0.048975 + 0.00211642 I, -0.381188 - 0.417403 I, 0.402668 + 0.375247 I, -0.117004 - 0.369967 I, 0.303289 + 0.0546713 I, 0.116007 + 0.340763 I},
{0.405586 + 0.327195 I, -0.227888 - 0.28726 I, 0.346399 + 0.326552 I, -0.349954 - 0.187512 I, 0.185524 + 0.0702979 I, 0.380692 + 0.159526 I},
{0.170418 + 0.287945 I, -0.201669 - 0.247598 I, 0.0643492 + 0.122128 I, -0.0208523 - 0.173424 I, 0.038078 + 0.275007 I, 0.576656 + 0.571745 I},
{0.300976 + 0.418803 I, -0.2391 - 0.235591 I, 0.152153 + 0.447777 I, -0.0289384 - 0.130394 I, 0.139646 + 0.0810112 I, 0.558499 + 0.204612 I},
{0.477878 + 0.311339 I, -0.286914 - 0.0601368 I, 0.0655149 + 0.362277 I, -0.0108487 - 0.117046 I, 0.483972 + 0.110241 I, 0.41563 + 0.14241 I},
{0.107105 + 0.0529252 I, -0.218079 - 0.481621 I, 0.00936225 + 0.240768 I, -0.425293 - 0.0400301 I, 0.27716 + 0.355092 I, 0.269224 + 0.43622 I},
{0.329689 + 0.34081 I, -0.140701 - 0.392324 I, 0.235826 + 0.0131559 I, -0.263014 - 0.116118 I, 0.394754 + 0.350627 I, 0.236795 + 0.357981 I},
{0.266181 + 0.0608406 I, -0.301459 - 0.178051 I, 0.400769 + 0.273923 I, -0.4567 - 0.193948 I, 0.0245356 + 0.471653 I, 0.226972 + 0.215523 I},
{0.0385351 + 0.458787 I, -0.0528411 - 0.00542143 I, 0.379683 + 0.0552376 I, -0.377585 - 0.421092 I, 0.118617 + 0.457 I, 0.0854404 + 0.296461 I},
{0.0255614 + 0.121053 I, -0.4184 - 0.386884 I, 0.18938 + 0.0753604 I, -0.370178 - 0.443078 I, 0.0762085 + 0.270093 I, 0.0362498 + 0.452757 I},
{0.277545 + 0.232653 I, -0.478417 - 0.101941 I, 0.261206 + 0.295388 I, -0.253689 - 0.423432 I, 0.310869 + 0.211819 I, 0.149927 + 0.257771 I},
{0.115154 + 0.339944 I, -0.258535 - 0.0869291 I, 0.2135 + 0.286226 I, -0.359498 - 0.308956 I, 0.398497 + 0.130918 I, 0.317553 + 0.409636 I},
{0.0556219 + 0.589311 I, -0.490268 - 0.462154 I, 0.141571 + 0.0128485 I, -0.100936 - 0.244381 I, 0.189843 + 0.097453 I, 0.206152 + 0.132347 I},
{0.235142 + 0.361915 I, -0.437895 - 0.422309 I, 0.46743 + 0.0702003 I, -0.147173 - 0.014165 I, 0.395597 + 0.136555 I, 0.113395 + 0.101723 I},
{0.287525 + 0.164464 I, -0.544027 - 0.181325 I, 0.494578 + 0.0893465 I, -0.181184 - 0.080014 I, 0.201061 + 0.448706 I, 0.163668 + 0.0326584 I},
{0.0373191 + 0.371774 I, -0.405014 - 0.394592 I, 0.0984508 + 0.164822 I, -0.423279 - 0.00375846 I, 0.0701429 + 0.245408 I, 0.409173 + 0.303392 I},
{0.0885903 + 0.0843048 I, -0.304017 - 0.123237 I, 0.148867 + 0.405984 I, -0.142668 - 0.302472 I, 0.48471 + 0.108863 I, 0.461334 + 0.344932 I},
{0.404942 + 0.492245 I, -0.239132 - 0.371406 I, 0.0337986 + 0.0117566 I, -0.126755 - 0.273779 I, 0.123437 + 0.496182 I, 0.154593 + 0.14476 I},
{0.249459 + 0.0256638 I, -0.368643 - 0.308432 I, 0.38869 + 0.127392 I, -0.379436 - 0.404263 I, 0.260132 + 0.0292633 I, 0.0901973 + 0.393337 I},
{0.263302 + 0.402387 I, -0.277003 - 0.0591715 I, 0.3913 + 0.292706 I, -0.183006 - 0.397079 I, 0.481246 + 0.126119 I, 0.0973871 + 0.0397657 I},
{0.354805 + 0.384317 I, -0.186572 - 0.368515 I, 0.444325 + 0.352306 I, -0.245585 - 0.0382294 I, 0.0474796 + 0.194264 I, 0.362979 + 0.0271484 I},
{0.461573 + 0.137993 I, -0.431813 - 0.381407 I, 0.00741502 + 0.460898 I, -0.198623 - 0.165018 I, 0.0589635 + 0.192702 I, 0.248787 + 0.233033 I},
{0.454344 + 0.413791 I, -0.418649 - 0.00182889 I, 0.0501567 + 0.320413 I, -0.380992 - 0.114697 I, 0.273399 + 0.094565 I, 0.274888 + 0.155995 I},
{0.244362 + 0.500698 I, -0.210284 - 0.534435 I, 0.0357698 + 0.156924 I, -0.457373 - 0.0530903 I, 0.0734229 + 0.331215 I, 0.0229861 + 0.0788169 I},
{0.0685451 + 0.0966945 I, -0.0707777 - 0.0771484 I, 0.00177614 + 0.149073 I, -0.324133 - 0.295049 I, 0.341411 + 0.337334 I, 0.501866 + 0.527658 I},
{0.0742953 + 0.374606 I, -0.124058 - 0.183439 I, 0.165042 + 0.262474 I, -0.349814 - 0.458086 I, 0.439501 + 0.142986 I, 0.178243 + 0.362475 I},
{0.437015 + 0.383031 I, -0.0443697 - 0.325693 I, 0.120051 + 0.0826566 I, -0.182472 - 0.110952 I, 0.473627 + 0.0651883 I, 0.109649 + 0.496804 I},
{0.00300693 + 0.264583 I, -0.495673 - 0.18071 I, 0.34436 + 0.0940541 I, -0.487001 - 0.0320293 I, 0.24604 + 0.269499 I, 0.137411 + 0.366013 I},
{0.313463 + 0.126451 I, -0.253404 - 0.346181 I, 0.421531 + 0.12557 I, -0.18621 - 0.278638 I, 0.116369 + 0.443647 I, 0.425715 + 0.0657974 I},
{0.222835 + 0.384055 I, -0.463054 - 0.13725 I, 0.208113 + 0.295604 I, -0.512641 - 0.0262878 I, 0.177609 + 0.205464 I, 0.016034 + 0.318413 I},
{0.17807 + 0.082707 I, -0.175689 - 0.228087 I, 0.369442 + 0.190345 I, -0.483478 - 0.466309 I, 0.197533 + 0.395891 I, 0.0392454 + 0.239494 I},
{0.325395 + 0.400995 I, -0.22373 - 0.0195709 I, 0.313801 + 0.410898 I, -0.368712 - 0.135402 I, 0.157183 + 0.35188 I, 0.11989 + 0.313676 I},
{0.390895 + 0.488031 I, -0.205456 - 0.325047 I, 0.185929 + 0.323991 I, -0.340004 - 0.0817938 I, 0.265121 + 0.0935383 I, 0.345016 + 0.0353787 I},
{0.326058 + 0.348158 I, -0.388112 - 0.321485 I, 0.186308 + 0.015343 I, -0.326547 - 0.19785 I, 0.357774 + 0.252835 I, 0.371319 + 0.0892143 I},
{0.257505 + 0.350496 I, -0.347161 - 0.372121 I, 0.147094 + 0.410322 I, -0.257338 - 0.345685 I, 0.0368404 + 0.0466404 I, 0.406824 + 0.0841983 I},
{0.321376 + 0.117861 I, -0.251598 - 0.193098 I, 0.29838 + 0.442612 I, -0.347542 - 0.290161 I, 0.169124 + 0.434568 I, 0.0420338 + 0.270377 I},
{0.150191 + 0.341715 I, -0.0269987 - 0.293983 I, 0.442999 + 0.0409614 I, -0.456778 - 0.238029 I, 0.423932 + 0.0849865 I, 0.287061 + 0.202345 I},
{0.387594 + 0.187102 I, -0.145762 - 0.172854 I, 0.400211 + 0.171152 I, -0.0730703 - 0.291948 I, 0.413052 + 0.388087 I, 0.367734 + 0.164781 I},
{0.431596 + 0.388463 I, -0.260464 - 0.0417486 I, 0.0474226 + 0.484569 I, -0.146937 - 0.142159 I, 0.227436 + 0.440726 I, 0.256817 + 0.0495922 I},
{0.312295 + 0.103704 I, -0.220205 - 0.360062 I, 0.0087024 + 0.278343 I, -0.27953 - 0.471887 I, 0.430223 + 0.227747 I, 0.279844 + 0.141223 I},
{0.0214899 + 0.428924 I, -0.344349 - 0.303231 I, 0.0973865 + 0.214143 I, -0.0884205 - 0.401822 I, 0.00340773 + 0.270032 I, 0.480444 + 0.276879 I},
{0.433811 + 0.468646 I, -0.250265 - 0.247021 I, 0.272746 + 0.397612 I, -0.130613 - 0.0517362 I, 0.220952 + 0.0696358 I, 0.0148419 + 0.403009 I},
{0.275884 + 0.204588 I, -0.254253 - 0.399071 I, 0.481439 + 0.260921 I, -0.203194 - 0.302289 I, 0.157031 + 0.342829 I, 0.203961 + 0.204471 I},
{0.087243 + 0.0500857 I, -0.0223613 - 0.166265 I, 0.445581 + 0.128479 I, -0.209381 - 0.530305 I, 0.114968 + 0.479741 I, 0.250968 + 0.339511 I},
{0.384318 + 0.0615204 I, -0.0166687 - 0.323207 I, 0.0936533 + 0.384905 I, -0.361633 - 0.150843 I, 0.396305 + 0.0598586 I, 0.331377 + 0.403569 I},
{0.154482 + 0.371595 I, -0.28602 - 0.348021 I, 0.103562 + 0.26934 I, -0.460436 - 0.0672177 I, 0.179126 + 0.274342 I, 0.0522713 + 0.474611 I},
{0.174812 + 0.311841 I, -0.403755 - 0.205361 I, 0.332009 + 0.0273399 I, -0.145015 - 0.296034 I, 0.319648 + 0.478604 I, 0.0210211 + 0.340123 I},
{0.1825 + 0.44529 I, -0.00730845 - 0.190604 I, 0.0804868 + 0.320891 I, -0.005074 - 0.168787 I, 0.451416 + 0.364618 I, 0.426988 + 0.273901 I},
{0.404359 + 0.324985 I, -0.153454 - 0.170765 I, 0.394265 + 0.22882 I, -0.3639 - 0.188147 I, 0.370546 + 0.185163 I, 0.189497 + 0.308294 I},
{0.169863 + 0.0582216 I, -0.389998 - 0.174504 I, 0.0747321 + 0.121395 I, -0.312375 - 0.14549 I, 0.510798 + 0.489235 I, 0.161158 + 0.346269 I},
{0.0425382 + 0.215216 I, -0.276153 - 0.153988 I, 0.0816117 + 0.208521 I, -0.46152 - 0.148299 I, 0.243015 + 0.406404 I, 0.457896 + 0.364521 I},
{0.0415947 + 0.0449694 I, -0.521321 - 0.165139 I, 0.0997447 + 0.0254501 I, -0.201382 - 0.463395 I, 0.195103 + 0.275925 I, 0.153048 + 0.541933 I},
{0.133244 + 0.0969577 I, -0.563274 - 0.163513 I, 0.0989673 + 0.00445113 I, -0.046636 - 0.0762644 I, 0.362068 + 0.33728 I, 0.54643 + 0.259978 I},
{0.409513 + 0.22258 I, -0.265953 - 0.00205552 I, 0.168811 + 0.412611 I, -0.374564 - 0.480325 I, 0.199668 + 0.191497 I, 0.158225 + 0.201727 I},
{0.266261 + 0.382827 I, -0.380685 - 0.202119 I, 0.272115 + 0.257426 I, -0.282323 - 0.0911742 I, 0.329423 + 0.256824 I, 0.215342 + 0.384178 I},
{0.415887 + 0.112325 I, -0.136075 - 0.369408 I, 0.328352 + 0.284859 I, -0.140498 - 0.42202 I, 0.0423238 + 0.400752 I, 0.324037 + 0.0724482 I},
{0.41466 + 0.520681 I, -0.195098 - 0.0202719 I, 0.0579442 + 0.431062 I, -0.0395273 - 0.167914 I, 0.368935 + 0.368972 I, 0.0437436 + 0.159304 I},
{0.136847 + 0.161013 I, -0.175187 - 0.273508 I, 0.20958 + 0.444128 I, -0.349721 - 0.473641 I, 0.166836 + 0.149216 I, 0.428882 + 0.167325 I},
{0.172562 + 0.28509 I, -0.228747 - 0.318965 I, 0.165453 + 0.207093 I, -0.0905404 - 0.460631 I, 0.40072 + 0.0764319 I, 0.431367 + 0.302895 I},
{0.21749 + 0.338757 I, -0.0578584 - 0.3606 I, 0.0119267 + 0.0536651 I, -0.0397608 - 0.444656 I, 0.342598 + 0.518085 I, 0.287691 + 0.183544 I},
{0.372241 + 0.180623 I, -0.0158897 - 0.149145 I, 0.411227 + 0.201195 I, -0.266706 - 0.337393 I, 0.112009 + 0.414694 I, 0.433764 + 0.197722 I},
{0.410915 + 0.221567 I, -0.0246431 - 0.230048 I, 0.251453 + 0.196261 I, -0.454158 - 0.323023 I, 0.297743 + 0.175191 I, 0.245019 + 0.369865 I},
{0.483038 + 0.569656 I, -0.136813 - 0.17589 I, 0.108539 + 0.276008 I, -0.155109 - 0.321578 I, 0.105593 + 0.144749 I, 0.369446 + 0.0921232 I},
{0.30101 + 0.302391 I, -0.341178 - 0.124551 I, 0.211676 + 0.0640157 I, -0.311628 - 0.364469 I, 0.344168 + 0.365857 I, 0.368049 + 0.139356 I},
{0.225773 + 0.230123 I, -0.205614 - 0.140153 I, 0.342744 + 0.369342 I, -0.187262 - 0.011814 I, 0.401007 + 0.368744 I, 0.269993 + 0.418786 I},
{0.335958 + 0.322707 I, -0.100573 - 0.35636 I, 0.193332 + 0.0917819 I, -0.353698 - 0.087063 I, 0.359133 + 0.314284 I, 0.35387 + 0.33827 I},
{0.283663 + 0.11575 I, -0.128654 - 0.340528 I, 0.385138 + 0.399257 I, -0.325146 - 0.333603 I, 0.389057 + 0.18995 I, 0.0384952 + 0.244845 I},
{0.37437 + 0.469181 I, -0.430104 - 0.266233 I, 0.21153 + 0.405575 I, -0.231639 - 0.0163069 I, 0.167296 + 0.0799642 I, 0.0997124 + 0.276339 I},
{0.0379583 + 0.323014 I, -0.0546787 - 0.426556 I, 0.291645 + 0.1679 I, -0.388387 - 0.166628 I, 0.20009 + 0.383858 I, 0.336598 + 0.341677 I},
{0.201353 + 0.172853 I, -0.347974 - 0.398915 I, 0.348339 + 0.165389 I, -0.277494 - 0.003194 I, 0.162074 + 0.129676 I, 0.450283 + 0.42168 I},
{0.474164 + 0.216996 I, -0.421986 - 0.482502 I, 0.0329882 + 0.0401255 I, -0.108841 - 0.200286 I, 0.174099 + 0.0281099 I, 0.160612 + 0.453481 I},
{0.417269 + 0.116172 I, -0.228299 - 0.423776 I, 0.259557 + 0.439164 I, -0.297458 - 0.193598 I, 0.0367611 + 0.349272 I, 0.234319 + 0.127437 I},
{0.368419 + 0.310154 I, -0.353347 - 0.0968323 I, 0.336525 + 0.231547 I, -0.3756 - 0.219567 I, 0.379702 + 0.245454 I, 0.204592 + 0.177238 I},
{0.330298 + 0.293071 I, -0.147988 - 0.168814 I, 0.368829 + 0.00764019 I, -0.073097 - 0.419126 I, 0.266587 + 0.39625 I, 0.399187 + 0.223782 I},
{0.453371 + 0.430476 I, -0.0292725 - 0.225129 I, 0.0344154 + 0.362502 I, -0.189327 - 0.32392 I, 0.451326 + 0.0242464 I, 0.229915 + 0.16462 I},
{0.0200281 + 0.102914 I, -0.126137 - 0.387009 I, 0.227661 + 0.128046 I, -0.217539 - 0.405814 I, 0.292711 + 0.448846 I, 0.177166 + 0.473874 I},
{0.00226711 + 0.0421898 I, -0.322939 - 0.198552 I, 0.419199 + 0.369639 I, -0.357558 - 0.0761125 I, 0.254054 + 0.185845 I, 0.376973 + 0.409034 I},
{0.0803927 + 0.41828 I, -0.22857 - 0.289153 I, 0.283504 + 0.348678 I, -0.00590366 - 0.182983 I, 0.148591 + 0.54645 I, 0.272382 + 0.22886 I},
{0.387882 + 0.00289531 I, -0.113164 - 0.368927 I, 0.410881 + 0.336879 I, -0.180894 - 0.0127284 I, 0.125286 + 0.170171 I, 0.467003 + 0.350263 I},
{0.400701 + 0.158172 I, -0.243474 - 0.236105 I, 0.0143801 + 0.365708 I, -0.286848 - 0.554669 I, 0.275834 + 0.247279 I, 0.195452 + 0.008571 I},
{0.285186 + 0.343041 I, -0.349606 - 0.0262983 I, 0.346107 + 0.215757 I, -0.198534 - 0.319065 I, 0.218718 + 0.120693 I, 0.401873 + 0.382898 I},
{0.0226476 + 0.426794 I, -0.0995488 - 0.429356 I, 0.336469 + 0.0751375 I, -0.338057 - 0.424345 I, 0.0984201 + 0.193833 I, 0.164876 + 0.368005 I},
{0.341987 + 0.384725 I, -0.283511 - 0.354098 I, 0.0452027 + 0.344277 I, -0.348102 - 0.291257 I, 0.0398061 + 0.323451 I, 0.2544 + 0.178234 I},
{0.222842 + 0.498289 I, -0.373128 - 0.084272 I, 0.136219 + 0.0819665 I, -0.166543 - 0.197912 I, 0.0983114 + 0.0512291 I, 0.41799 + 0.525869 I},
{0.163908 + 0.420698 I, -0.305777 - 0.334488 I, 0.339628 + 0.27046 I, -0.223096 - 0.288767 I, 0.491107 + 0.0445182 I, 0.144508 + 0.071144 I},
